 HJD-2451545  Normalized_Flux  Normalized_Flux_err
   6.1063514e+03   9.9229560e-01   4.2862248e-03
   6.1063542e+03   9.9945100e-01   4.3171326e-03
   6.1071325e+03   9.9812963e-01   3.9452213e-03
   6.1071355e+03   9.9488671e-01   3.9324033e-03
   6.1071385e+03   9.9083228e-01   3.9163777e-03
   6.1071413e+03   9.8973805e-01   3.9120526e-03
   6.1071442e+03   9.9424723e-01   3.9298756e-03
   6.1071471e+03   9.9171515e-01   3.9198673e-03
   6.1071500e+03   9.9270614e-01   3.9237843e-03
   6.1071544e+03   9.9339175e-01   3.9264943e-03
   6.1071567e+03   9.9236351e-01   3.9224300e-03
   6.1071596e+03   9.9278194e-01   3.9240839e-03
   6.1071625e+03   9.9183801e-01   3.9203529e-03
   6.1071654e+03   9.9714728e-01   3.9413384e-03
   6.1071683e+03   9.9400092e-01   3.9289021e-03
   6.1071712e+03   9.9455029e-01   3.9310735e-03
   6.1071741e+03   9.9387963e-01   3.9284227e-03
   6.1071770e+03   9.9491896e-01   3.9325307e-03
   6.1071799e+03   9.9908047e-01   3.9489796e-03
   6.1071828e+03   1.0000094e+00   3.9526512e-03
   6.1071858e+03   1.0001543e+00   3.9532239e-03
   6.1071887e+03   9.9904798e-01   3.9488512e-03
   6.1071916e+03   9.9592627e-01   3.9365122e-03
   6.1071945e+03   9.9546883e-01   3.9347042e-03
   6.1071974e+03   9.9442883e-01   3.9305935e-03
   6.1072008e+03   9.9321198e-01   3.9257837e-03
   6.1072040e+03   9.9516283e-01   3.9334947e-03
   6.1072070e+03   1.0025220e+00   3.9625826e-03
   6.1072099e+03   9.9800866e-01   3.9447431e-03
   6.1072132e+03   9.9876986e-01   3.9477519e-03
   6.1072163e+03   9.9760989e-01   3.9431670e-03
   6.1072192e+03   9.9926388e-01   3.9497045e-03
   6.1072222e+03   1.0050171e+00   3.9724449e-03
   6.1072251e+03   9.9712018e-01   3.9412313e-03
   6.1072281e+03   9.9656766e-01   3.9390474e-03
   6.1072311e+03   9.9131982e-01   3.9183047e-03
   6.1072340e+03   9.8910015e-01   3.9095312e-03
   6.1072370e+03   9.9250556e-01   3.9229915e-03
   6.1072400e+03   9.9040592e-01   3.9146924e-03
   6.1072430e+03   1.0009523e+00   3.9563783e-03
   6.1072461e+03   9.9552917e-01   3.9349427e-03
   6.1072490e+03   1.0051099e+00   3.9728116e-03
   6.1072520e+03   1.0046165e+00   3.9708614e-03
   6.1072550e+03   9.9717970e-01   3.9414666e-03
   6.1072579e+03   9.9598745e-01   3.9367541e-03
   6.1072609e+03   9.9510078e-01   3.9332494e-03
   6.1072640e+03   9.9788503e-01   3.9442545e-03
   6.1072670e+03   1.0142855e+00   4.0090793e-03
   6.1072704e+03   1.0021742e+00   3.9612080e-03
   6.1072735e+03   1.0022755e+00   3.9616082e-03
   6.1072766e+03   1.0005224e+00   3.9546791e-03
   6.1072796e+03   9.9256918e-01   3.9232430e-03
   6.1072829e+03   9.9884621e-01   3.9480537e-03
   6.1072860e+03   9.9751792e-01   3.9428034e-03
   6.1072890e+03   9.9171515e-01   3.9198673e-03
   6.1072921e+03   1.0215994e+00   4.0379882e-03
   6.1072954e+03   1.0166082e+00   4.0182598e-03
   6.1072986e+03   1.0171869e+00   4.0205472e-03
   6.1073016e+03   1.0200312e+00   4.0317898e-03
   6.1073047e+03   1.0143211e+00   4.0092200e-03
   6.1073087e+03   1.0074937e+00   3.9822339e-03
   6.1073121e+03   1.0103597e+00   3.9935621e-03
   6.1073153e+03   1.0074929e+00   3.9822306e-03
   6.1073184e+03   1.0077672e+00   3.9833150e-03
   6.1073215e+03   1.0119842e+00   3.9999832e-03
   6.1073246e+03   1.0049245e+00   3.9720787e-03
   6.1073276e+03   1.0082321e+00   3.9851523e-03
   6.1073308e+03   1.0076230e+00   3.9827449e-03
   6.1073339e+03   1.0055107e+00   3.9743959e-03
   6.1073370e+03   1.0054171e+00   3.9740258e-03
   6.1073401e+03   1.0022764e+00   3.9616119e-03
   6.1073440e+03   9.9904890e-01   3.9488548e-03
   6.1073472e+03   1.0055744e+00   3.9746474e-03
   6.1073504e+03   1.0043394e+00   3.9697662e-03
   6.1073534e+03   1.0027052e+00   3.9633068e-03
   6.1073563e+03   9.9940783e-01   3.9502735e-03
   6.1081304e+03   9.9648092e-01   4.4870521e-03
   6.1081331e+03   9.9134757e-01   4.4639372e-03
   6.1081360e+03   9.9451868e-01   4.4782164e-03
   6.1081387e+03   9.9709373e-01   4.4898116e-03
   6.1081415e+03   9.9644329e-01   4.4868827e-03
   6.1081443e+03   9.9460864e-01   4.4786214e-03
   6.1081471e+03   9.9204521e-01   4.4670786e-03
   6.1081500e+03   9.9271729e-01   4.4701049e-03
   6.1081529e+03   9.9338982e-01   4.4731332e-03
   6.1081558e+03   9.9515834e-01   4.4810967e-03
   6.1081587e+03   1.0036576e+00   4.5193681e-03
   6.1081616e+03   9.9644329e-01   4.4868827e-03
   6.1081644e+03   9.9595498e-01   4.4846839e-03
   6.1081673e+03   9.9028232e-01   4.4591405e-03
   6.1081702e+03   1.0030407e+00   4.5165901e-03
   6.1081731e+03   9.9831010e-01   4.4952888e-03
   6.1081760e+03   9.9812779e-01   4.4944678e-03
   6.1081789e+03   9.9935149e-01   4.4999780e-03
   6.1081818e+03   9.9944630e-01   4.5004050e-03
   6.1081848e+03   9.9837152e-01   4.4955653e-03
   6.1081876e+03   1.0004590e+00   4.5049651e-03
   6.1081905e+03   9.9479214e-01   4.4794477e-03
   6.1081934e+03   9.9353988e-01   4.4738090e-03
   6.1081963e+03   9.9834081e-01   4.4954270e-03
   6.1081992e+03   9.9849429e-01   4.4961181e-03
   6.1082020e+03   9.9978438e-01   4.5019273e-03
   6.1082049e+03   9.9831185e-01   4.4952966e-03
   6.1082078e+03   9.9494599e-01   4.4801405e-03
   6.1082106e+03   1.0069601e+00   4.5342389e-03
   6.1082134e+03   1.0017200e+00   4.5106432e-03
   6.1082163e+03   9.9656490e-01   4.4874303e-03
   6.1082191e+03   9.9766759e-01   4.4923956e-03
   6.1082220e+03   1.0045519e+00   4.5233950e-03
   6.1082250e+03   9.9996884e-01   4.5027579e-03
   6.1082278e+03   1.0012890e+00   4.5087022e-03
   6.1082307e+03   1.0004916e+00   4.5051116e-03
   6.1082336e+03   1.0057862e+00   4.5289528e-03
   6.1082365e+03   9.9739068e-01   4.4911487e-03
   6.1082393e+03   1.0009803e+00   4.5073125e-03
   6.1082425e+03   1.0015300e+00   4.5097875e-03
   6.1082455e+03   9.9910844e-01   4.4988836e-03
   6.1082484e+03   9.9580015e-01   4.4839867e-03
   6.1082513e+03   9.9944547e-01   4.5004012e-03
   6.1082542e+03   9.9509894e-01   4.4808292e-03
   6.1082571e+03   1.0031649e+00   4.5171496e-03
   6.1082601e+03   1.0002113e+00   4.5038495e-03
   6.1082631e+03   1.0027949e+00   4.5154832e-03
   6.1082660e+03   1.0006419e+00   4.5057884e-03
   6.1082689e+03   1.0031032e+00   4.5168717e-03
   6.1082718e+03   1.0014429e+00   4.5093954e-03
   6.1082746e+03   1.0016584e+00   4.5103657e-03
   6.1082775e+03   9.9779027e-01   4.4929480e-03
   6.1082806e+03   1.0016892e+00   4.5105044e-03
   6.1082835e+03   1.0015651e+00   4.5099457e-03
   6.1082865e+03   1.0032275e+00   4.5174313e-03
   6.1082894e+03   9.9966053e-01   4.5013696e-03
   6.1082922e+03   1.0099621e+00   4.5477564e-03
   6.1082951e+03   1.0078264e+00   4.5381398e-03
   6.1082983e+03   9.9651937e-01   4.4872253e-03
   6.1083013e+03   9.9604680e-01   4.4850974e-03
   6.1083041e+03   9.9647385e-01   4.4870203e-03
   6.1083070e+03   1.0020253e+00   4.5120181e-03
   6.1083099e+03   1.0064650e+00   4.5320093e-03
   6.1083127e+03   1.0035959e+00   4.5190900e-03
   6.1083156e+03   1.0036885e+00   4.5195071e-03
   6.1083186e+03   1.0036277e+00   4.5192332e-03
   6.1083215e+03   1.0045210e+00   4.5232559e-03
   6.1083243e+03   9.9561737e-01   4.4831637e-03
   6.1083272e+03   1.0039962e+00   4.5208926e-03
   6.1083301e+03   1.0086961e+00   4.5420559e-03
   6.1083329e+03   1.0011949e+00   4.5082787e-03
   6.1083358e+03   9.9919972e-01   4.4992946e-03
   6.1083387e+03   1.0089415e+00   4.5431609e-03
   6.1083416e+03   1.0095310e+00   4.5458154e-03
   6.1083444e+03   1.0060654e+00   4.5302102e-03
   6.1083474e+03   1.0083542e+00   4.5405162e-03
   6.1083502e+03   1.0008897e+00   4.5069045e-03
